subject,strategy,condition,l_length,pres_rate,prop_wrong
A3HBB9JT9WVZS4,ns,15-2,15.0,2000.0,0.25
A3HOPYBWSR1TWR,prim,15-2,15.0,2000.0,0.2765151515151515
A3IBDJ12CRTQQN,prim,15-2,15.0,2000.0,0.10416666666666666
A3IHTJXHWPQ2JR,rec,15-2,15.0,2000.0,0.08333333333333333
A3MWLHSW9B9RHU,prim,15-2,15.0,2000.0,0.3125
A3ORKXM3WG8QJ9,prim,15-2,15.0,2000.0,0.13257575757575757
A3P52W1SBJUT5N,ns,15-2,15.0,2000.0,0.20833333333333331
A3U27ZHUGOPIAN,prim,15-2,15.0,2000.0,0.4791666666666667
A3UA50A6GKNAMR,prim,15-2,15.0,2000.0,0.29166666666666663
A3UE8ANAIM7F15,ns,15-2,15.0,2000.0,0.2708333333333333
A3UGB3B1S74HR9,prim,15-2,15.0,2000.0,0.3409090909090909
A3UUW04QL49RSC,prim,15-2,15.0,2000.0,0.08522727272727272
A6HDSE80LQPR8,rec,15-2,15.0,2000.0,0.08333333333333333
AAOOH6P4HHSCS,prim,15-2,15.0,2000.0,0.20833333333333331
ADGJXUEMPLTMS,prim,15-2,15.0,2000.0,0.08333333333333333
AEF1G6YE8RIB8,prim,15-2,15.0,2000.0,0.41666666666666663
AERGHZBQFT309,ns,15-2,15.0,2000.0,0.020833333333333332
AESZJEZTZEW01,ns,15-2,15.0,2000.0,0.25
