subject,strategy,condition,l_length,pres_rate,ncr,tr_1,tr_2,tr_3,tr_4,tr_5,tr_6,tr_7,tr_8,tr_9,tr_10,tr_11,tr_12,tr_13,tr_14,tr_15,tr_16,tr_17,tr_18,tr_19,tr_20,tr_21,tr_22,tr_23,tr_24,tr_25,tr_26,tr_27
A1WPGNK8Y65BV3,ns,10-2,10.0,2000.0,7,2212.2250000064573,2041.9583333233993,2054.791666675773,2472.191666677594,2414.258333298067,8059.116666687031,,,,,,,,,,,,,,,,,,,,,
A1XMGLCK09Z0DW,ns,10-2,10.0,2000.0,3,1490.0,,,,,,,,,,,,,,,,,,,,,,,,,,
A1XMGLCK09Z0DW,ns,10-2,10.0,2000.0,4,,1396.0,1915.0,,,,,,,,,,,,,,,,,,,,,,,,
A1XMGLCK09Z0DW,ns,10-2,10.0,2000.0,5,4110.0,1481.0,5293.0,1761.5,,,,,,,,,,,,,,,,,,,,,,,
A1XMGLCK09Z0DW,ns,10-2,10.0,2000.0,6,4084.75,2469.125,2105.1875,3133.25,2039.0,,,,,,,,,,,,,,,,,,,,,,
A1XMGLCK09Z0DW,ns,10-2,10.0,2000.0,7,3208.0625,2374.375,2408.0833333333335,2026.8541666666665,1428.7777777777776,3925.5,,,,,,,,,,,,,,,,,,,,,
A1XMGLCK09Z0DW,ns,10-2,10.0,2000.0,8,2231.804166666667,1962.4833333333333,1706.55,2358.708333333333,2094.2555555555555,2599.25,2786.9166666666665,,,,,,,,,,,,,,,,,,,,
A1XMGLCK09Z0DW,ns,10-2,10.0,2000.0,9,2566.1666666666665,3818.125,2444.25,2347.4166666666665,2289.75,1546.875,1869.4583333333333,1731.5,,,,,,,,,,,,,,,,,,,
A1YA2FCN3KEK36,prim,10-2,10.0,2000.0,3,3954.699999809265,2333.899999976158,,,,,,,,,,,,,,,,,,,,,,,,,
A1YA2FCN3KEK36,prim,10-2,10.0,2000.0,4,10137.683333317438,3329.983333344261,3157.7874999940395,,,,,,,,,,,,,,,,,,,,,,,,
A1YA2FCN3KEK36,prim,10-2,10.0,2000.0,5,3636.933333327373,3212.6375000178814,3315.0625,5074.316666722298,,,,,,,,,,,,,,,,,,,,,,,
A1YA2FCN3KEK36,prim,10-2,10.0,2000.0,6,4546.066666667661,4244.775000020862,3586.1437499560416,3964.1583333363137,3830.0374999791384,,,,,,,,,,,,,,,,,,,,,,
A1YA2FCN3KEK36,prim,10-2,10.0,2000.0,7,6103.960000022253,3656.786666647593,3813.299999988079,4216.39000001351,4076.0937500447035,3622.0333333452545,,,,,,,,,,,,,,,,,,,,,
A1YA2FCN3KEK36,prim,10-2,10.0,2000.0,8,4295.787499991557,6382.837499968708,4281.804166679582,3139.499999985099,3984.3166666974626,3590.570833305518,4084.599999986589,,,,,,,,,,,,,,,,,,,,
A1YA2FCN3KEK36,prim,10-2,10.0,2000.0,9,7781.0,2842.4249999523163,4546.750000059605,4006.800000011921,3449.6500000059605,5485.050000011921,2700.550000011921,3271.1500000059605,,,,,,,,,,,,,,,,,,,
